,BLKID,MAF_NAME,TLID_match
947,80310017011009,Chestnut Pl,646531935
949,80310040064009,E Vassar Ave,177340847
950,80310045051002,S Meade St,177327474
954,80310068092036,S Niagara Way,177342082
958,80310039021011,S Elizabeth St,177338819
959,80310009044008,W 8th Ave,177326209
961,80310030011010,S Sherman St,177332239
966,80310028032000,E Bayaud Ave,177331721
967,80310004023018,Boulder St,177630869
968,80310068102003,S Willow Way,177344135
971,80310014032028,S Delaware St,177332933
972,80310055032017,W Stanford Ave,177329271
975,80310055033001,S Winona Ct,177624105
977,80310013013007,S Clay St,177328204
979,80310017021015,California St,177304550
980,80310024033003,Welton St,177305593
982,80310034021013,S High St,177332463
986,80310015003032,31st St,177303834
987,80310018001011,W 11th Ave,177630959
988,80310014024009,S Bryant St,177328441
989,80310009025016,W 5th Ave,177326251
992,80310046021007,W Louisiana Ave,177327977
993,80310083882006,E 40th Ave,640657413
994,80310030013009,S Ogden St,177332404
995,80310014032028,S Delaware St,177332933
996,80310002022014,W 46th Ave,177301086
998,80310009032005,S Knox Ct,177327456
999,80310120011010,S Golden Ct,177329032
1000,80310053001027,E Dickenson Pl,177340916
1003,80310069013005,E Iliff Ave,177375611
1004,80310028032000,E Bayaud Ave,177331721
1005,80310006002002,W 25th Ave,177301752
1007,80310017012004,Delgany St,177304054
1008,80310068042020,E Union Ave,606028427
1009,80310155002003,S Cherry St,177370685
1012,80310083891011,N Ireland Ct,640654059
1018,80310030042006,S Marion St,177334002
1020,80310083881037,N Hannibal St,606058170
1022,80310050011033,E Mississippi Ave,177340378
1025,80310045043008,W Gill Pl,177326925
1026,80310004023009,W 31st Ave,177301338
1028,80310070061000,S Parker Rd,177522541
1030,80310070884006,E Mississippi Ave,177515660
1033,80310034022015,S Race St,177332467
1034,80310046012024,S Winona Way,177327091
1035,80310039013033,S Fillmore Way,177338879
1036,80310015003082,Ringsby Ct,177304909
1041,80310009054000,W 6th Ave,177327361
1042,80310119031004,W Yale Ave,177321794
1043,80310083882006,E 40th Ave,640657413
1044,80310040041022,S Hillcrest Dr,177342005
1045,80310120141006,W Union Ave,177321424
1046,80310034022019,S University Blvd,177338750
1047,80319800001046,Pena Blvd,177627734
1048,80310041071001,E 50th Ave,641515023
1049,80310119022001,S Depew St,177328685
1050,80310034011000,E Alameda Ave,177332016
1051,80310016002048,Market St,177304452
1056,80310044054028,N Roslyn St,606035804
1057,80310068121020,E Cornell Ave,640659367
1058,80310029013001,S Logan St,177332069
1060,80310120012000,W Princeton Ave,177624092
1061,80310030021002,S Ogden St,177333788
1062,80310046013024,S Xavier St,177327128
1064,80310017011009,Chestnut Pl,646531935
1065,80319800001078,N Calawba Ct,605910598
1067,80310041035011,E 26th Ave,177311151
1068,80310070893006,S Alton Way,177343099
1070,80310036021001,N Colorado Blvd,606065531
1071,80310157002009,S Perry St,177328933
1072,80310017021015,California St,177304550
1074,80310052003009,S Locust St,177631119
1076,80310157002000,S Patton Ct,177328863
1077,80310024032014,California St,177304557
1080,80310019011063,W 14th Ave,177302025
1084,80310068092039,E Jarvis Pl,177343863
1086,80310029013007,S Pearl St,177332083
1087,80310068095005,S Quebec St,612223461
1088,80310029022013,S Corona St,177332225
1089,80310156001005,W Amherst Ave,177329698
1097,80310013015005,S Decatur St,177327816
1099,80310070891003,S Clinton St,612878011
1102,80310045043005,W Gill Pl,177326925
1103,80310037023006,E 11th Ave,177310984
1104,80310013022021,W Kentucky Ave,177330956
1105,80310024032014,California St,177304557
1106,80310024021007,E 24th Ave,177305654
1107,80310068121021,S Magnolia St,177341829
1108,80310004025007,W 33rd Ave,612872371
1110,80310017021012,Curtis St,177304431
1111,80310155003009,E Arkansas Ave,177340145
1112,80310083881001,N Yampa St,646543094
1113,80310011023018,18th St,177303570
1115,80310045032010,S Yates St,177326733
1116,80310046011002,S Raleigh St,177327037
1117,80310156001011,W Dartmouth Ave,641542142
1119,80310068111006,S Rosemary St,177343542
1121,80310021002010,S Bannock St,177330856
1122,80310040063020,S Saint Paul St,177340636
1123,80310045042003,W Alameda Ave,177326186
1124,80310015003082,Ringsby Ct,177304909
1126,80310011023042,17th St,177303550
1127,80310029011001,S Logan St,606025543
1128,80310083903022,E 40th Pl,177624143
1130,80310041071001,E 53rd Dr,645173122
1132,80310068114010,E Eastman Ave,612675519
1133,80310040033008,S Clermont Dr,177341018
1134,80310083881001,N Yampa St,646543094
1137,80310046033004,S Linley Ct,177329382
1139,80310083881038,N Lewiston Ct,606076659
1140,80310050025000,E Arizona Ave,612675890
1142,80310029013022,S Pearl St,177332085
1144,80310004021002,W 37th Ave,177301259
1148,80310043043020,E 8th Ave,177339716
1151,80310003034009,W 34th Ave,177300812
1152,80310026021009,E 18th Ave,177305708
1153,80310046013003,S Stuart St,177327169
1155,80310046012014,S Wolff St,177326971
1157,80310041061081,E 28th Ave,641517105
1161,80310014032030,S Delaware St,177332937
1163,80310031021016,E 17th Ave,177306101
1164,80310069012003,S Linden Ct,177341657
1168,80310067011032,S Niagara St,640660911
1169,80310156002026,W Jewell Ave,177328450
1171,80310120101013,S Fenton St,177627061
1177,80310067011022,E Union Ave,634910988
1178,80310047003005,S Xavier St,177328735
1182,80310027022005,E 8th Ave,177331532
1184,80310051024008,E Asbury Ave,177340279
1185,80310083881052,E 52nd Ave,177351692
1186,80310017022002,15th St,177304418
1189,80310037011001,E 23rd Ave,177625173
1190,80310016003007,Curtis St,177305087
1191,80310014031000,S Broadway,177331272
1193,80310083902031,N Himalaya Rd,640655532
1196,80310156002043,S Jason St,177332738
1197,80310068095005,S Quebec St,612223461
1198,80310039011018,S Garfield St,177393943
1203,80310083891008,E 49th Ave,617528849
1204,80310120101005,W Quincy Ave,177322105
1205,80310039011003,S Monroe St,177338660
1206,80310030031037,S Humboldt St,177332594
1207,80310014021018,S Tejon St,177331106
1208,80310083892037,E 50th Dr,606061606
1209,80310048011012,S Yates St,177328866
1210,80310040051008,S Cook St,177339063
1211,80310051042000,E Mexico Ave,177339347
1212,80310008001039,W 8th Ave,177327635
1218,80310032014003,E 14th Ave,177306083
1219,80310119031012,S Teller St,177321861
1220,80310120101004,S Wadsworth Blvd,623656789
1221,80310017021012,Curtis St,177304431
1222,80310009033012,S Osceola St,177326587
1225,80310019012015,W 10th Ave,177304321
1228,80310040062015,E Evans Ave,177340531
1229,80310068041014,S Yosemite St,177515791
1233,80310083912023,E 40th Ave,606034703
1234,80310006002009,W 24th Ave,177301760
1236,80310157001007,S Knox Ct,177329398
1237,80310068121012,E Bates Ave,606042871
1238,80310030032000,E Buchtel Blvd,606058384
1239,80310017022002,15th St,177304418
1240,80310055032002,W Quinn Pl,177329298
1243,80310014014010,S Alcott St,177328305
1245,80310083893096,N Lisbon St,606063411
1248,80310009032002,S Hooker St,177327535
1250,80319800001046,Pena Blvd,617188528
