,Unnamed: 0,LATITUDE,LONGITUDE,MAF_NAME,BLKID
85782,43172,39.76508558,-105.05001487,W 34th Ave,80310003025026
137007,101005,39.702522200000004,-104.97542539999999,S Ogden St,80310029022001
16433,281881,39.76309722,-105.00020249999999,Rockmont Dr,80310011021022
109281,192696,39.7613638,-105.04815382,W 31st Ave,80310003023001
109060,94245,39.75634937,-105.03844738,N Osceola St,80310005024002
261103,121858,39.77713427,-104.81386626,N Freeport Way,80310083123017
158736,21975,39.72002195,-104.94169309,N Harrison St,80310038002001
123018,188066,39.68847688,-104.98907577,S Acoma St,80310014031030
107636,260469,39.7485487,-104.99244539,Curtis St,80310017021012
171533,104940,39.71291475,-104.91798355,E Cedar Ave,80310043061013
124619,109612,39.68602125,-104.97138789,S Lafayette St,80310030031008
10281,240853,39.79019579,-104.77188127,E Burlington Pl,80310083892007
13505,69710,39.73721238,-104.92080546,N Ivy St,80310043044010
186454,176946,39.68966548,-104.93275962,E Florida Ave,80310155003011
159827,142257,39.67992461,-104.96789864,S Gilpin St,80310030031034
220922,192451,39.75022444,-104.9742399,N Ogden St,80310024022000
247776,269869,39.75869654,-105.0020797,Little Raven St,80310017011006
201698,23038,39.78740794,-104.75832189,N Halifax Ct,80310083892040
87294,294301,39.76138802,-104.98063979,Lawrence St,80310016003000
99560,201353,39.72080605,-104.99235976,N Cherokee St,80310021004000
86096,80797,39.73647917,-104.99498783,N Speer Blvd,80310020001028
265920,115103,39.63030622,-105.03966609999999,W Chenango Ave,80310055034003
271587,139429,39.7152938,-104.90080868,S Roslyn St,80310044051022
205559,107222,39.72025497,-104.94104422,N Harrison St,80310038002000
5782,294134,39.74939785,-104.99850203,Market St,80310017015003
25067,280224,39.70972539,-104.99387023,S Cherokee St,80310021003059
89879,56291,39.74274337,-104.9529813,E 17th Ave,80310037012002
258402,120052,39.76045926,-104.91555426,N Leyden St,80310041046004
188249,131539,39.61688476,-105.06802755,W Berry Ave,80310120103001
230447,235959,39.75287132,-104.98377569,Stout St,80310024033010
63591,52646,39.76573382,-104.98039918,Blake St,80310016001013
68825,208024,39.75875518,-105.04009973,W 29th Ave,80310003022012
72301,57561,39.75737359,-105.01075394,Central St,80310004023017
125363,173981,39.70854549,-104.96087497,S York St,80310034012024
82593,167884,39.76116311,-105.02839554,W 31st Ave,80310003032005
73064,214659,39.73349778,-105.00339044,W 11th Ave,80310019012015
164483,218027,39.68654359,-104.93479383,E Mexico Ave,80310051041010
174906,125185,39.61642395,-105.06294367,S Harlan St,80310120101019
134124,315593,39.71520017,-104.94779003,E Bayaud Ave,80310038004018
13421,277253,39.75328007,-104.99993936,Wynkoop St,80310017011013
266519,104749,39.6368767,-105.04979944,S Wolff St,80310055033006
25344,191625,39.76248338,-105.00560344,N Osage St,80310011023011
